Caulobacter vibrioides
Caviibacter abscessus
Cecembia lonarensis
Cedecea neteri
Celeribacter baekdonensis
Celeribacter ethanolicus
Celeribacter halophilus
Celeribacter indicus
Celeribacter marinus
Celeribacter neptunius
Cellulomonas bogoriensis
Cellulomonas carbonis
Cellulomonas cellasea
Cellulomonas fimi
Cellulomonas flavigena
Cellulomonas gilvus
Cellulomonas iranensis
Cellulomonas marina
Cellulomonas massiliensis
Cellulophaga algicola
Cellulophaga baltica
Cellulophaga fucicola
Cellulophaga lytica
Cellulophaga tyrosinoxydans
Cellulosilyticum lentocellum
Cellulosilyticum ruminicola
Cellulosimicrobium cellulans
Cellvibrio japonicus
Cellvibrio mixtus
Centipeda periodontii
Cephaloticoccus capnophilus
Cephaloticoccus primus
Cesiribacter andamanensis
Cetobacterium ceti
Cetobacterium somerae
Chamaesiphon minutus
Chelatococcus sambhunathii
Chelonobacter oris
Chishuiella changwenlii
Chitinibacter tainanensis
Chitinilyticum aquatile
Chitinilyticum litopenaei
Chitinimonas koreensis
Chitinimonas taiwanensis
Chitiniphilus shinanonensis
Chitinivibrio alkaliphilus ACht1
Chitinophaga arvensicola
Chitinophaga costaii
Chitinophaga eiseniae
Chitinophaga filiformis
Chitinophaga jiangningensis
Chitinophaga niabensis
Chitinophaga pinensis
Chitinophaga rupis
Chitinophaga sancti
Chitinophaga terrae Kim and Jung 2007
Chlamydia avium
Chlamydia caviae
Chlamydia felis
Chlamydia gallinacea
Chlamydia ibidis
Chlamydia muridarum
Chlamydia pecorum
Chlamydia psittaci
Chlamydia suis
Chloracidobacterium thermophilum
Chlorobaculum limnaeum
Chlorobaculum parvum
Chlorobium chlorochromatii
Chlorobium ferrooxidans
Chlorobium limicola
Chlorobium phaeobacteroides
Chlorobium phaeovibrioides
Chloroflexus aggregans
Chloroflexus islandicus
Chlorogloeopsis fritschii
Chloroherpeton thalassium
Chondromyces apiculatus
Chondromyces crocatus
Christensenella massiliensis
Christensenella minuta
Christensenella timonensis
Chromobacterium amazonense
Chromobacterium haemolyticum
Chromobacterium subtsugae
Chromobacterium violaceum
Chromohalobacter japonicus
Chromohalobacter salexigens
Chroococcidiopsis thermalis
Chroogloeocystis siderophila
Chryseobacterium angstadtii
Chryseobacterium antarcticum
Chryseobacterium aquaticum
Chryseobacterium arachidis
Chryseobacterium bovis
Chryseobacterium caeni
Chryseobacterium chaponense
Chryseobacterium daeguense
Chryseobacterium formosense
Chryseobacterium frigidisoli
Chryseobacterium gregarium
Chryseobacterium haifense
Chryseobacterium halperniae
